track_index,instrument,vid,piece,start_time,duration
2,fl,04,Allegro,0.0,123.0
1,fl,03,Dance,0.0,95.25
2,fl,30,Fugue,0.0,187.79999999999998
1,fl,41,Miserere,0.0,37.5
1,fl,04,Allegro,0.0,123.0
1,fl,30,Fugue,0.0,187.79999999999998
1,fl,28,Fugue,0.0,187.2
2,fl,40,Miserere,0.0,37.5
2,fl,29,Fugue,0.0,187.79999999999998
1,fl,08,Spring,0.0,53.8
1,fl,40,Miserere,0.0,37.5
1,fl,29,Fugue,0.0,187.79999999999998
1,fl,37,Rondeau,0.0,125.21590909090908
1,fl,14,Waltz,0.0,89.24090909090908
2,fl,41,Miserere,0.0,37.5
2,fl,18,Nocturne,0.0,77.7
