track_index,instrument,vid,piece,start_time,duration
2,tpt,33,Elise,0.0,55.8
1,tpt,42,Arioso,0.0,246.3159090909091
1,tpt,15,Surprise,0.0,47.625
2,tpt,34,Fugue,0.0,187.2
3,tpt,18,Nocturne,0.0,77.7
2,tpt,42,Arioso,0.0,246.2340909090909
1,tpt,20,Pavane,0.0,133.275
2,tpt,05,Entertainer,0.0,77.625
2,tpt,16,Surprise,0.0,47.625
1,tpt,05,Entertainer,0.0,78.0
1,tpt,07,GString,0.0,216.0
1,tpt,31,Slavonic,0.0,93.54545454545455
2,tpt,31,Slavonic,0.0,93.54545454545455
2,tpt,15,Surprise,0.0,47.625
1,tpt,16,Surprise,0.0,47.625
2,tpt,43,Chorale,0.0,44.5
1,tpt,33,Elise,0.0,55.8
1,tpt,34,Fugue,0.0,187.2
